# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
gao shu 	高數	c=1 d=2.24478e-13 t=66314
gao su 	告訴	c=0 d=0.1 t=51692
gao su wo 	告訴我	c=1 d=1 t=51693
gao ta 	搞她	c=1 d=3.64517e-40 t=66314
gao wan 	搞完	c=2 d=1 t=60699
gao wan le 	搞完了	c=2 d=1 t=50212
gao xiao 	搞笑	c=2 d=2.92154e-32 t=66314
gao xiao 	高效	c=2 d=2.52007e-21 t=66314
gao xing 	高興	c=0 d=7.33049e-25 t=66314
gao ya 	搞呀	c=2 d=1 t=42111
gao yi ge 	搞一個	c=2 d=1.25653e-30 t=66314
gao zan 	高讚	c=3 d=2.98506 t=42969
gao zhe zhong 	搞這種	c=1 d=5.08793e-22 t=66314
ge 	個	c=171 d=1.24219 t=66314
ge 	各	c=13 d=1.30367e-07 t=66314
ge 	哥	c=0 d=0.1 t=41820
ge 	歌	c=2 d=6.90712e-30 t=66314
ge 	隔	c=5 d=8.2992e-06 t=66314
ge cao 	割草	c=0 d=3.83337e-45 t=66314
ge di qu 	各地區	c=1 d=2.17769e-09 t=66314
ge ge 	各個	c=10 d=3.48786e-21 t=66314
ge hui 	歌會	c=1 d=1 t=54941
ge lei 	各類	c=1 d=1 t=56832
ge li 	隔離	c=6 d=7.95887e-21 t=66314
ge o wo 	個哦我	c=1 d=1.59581e-28 t=66314
ge ren 	個人	c=4 d=4.77439e-09 t=66314
ge shi 	格式	c=13 d=5.97806e-07 t=66314
ge shi hua 	格式化	c=1 d=1 t=43591
ge ti 	個體	c=1 d=1 t=36498
ge wei 	各位	c=1 d=1 t=34005
ge wei shu 	個位數	c=2 d=1 t=66181
ge xiang 	各項	c=1 d=5.39136e-27 t=66314
ge yue 	個月	c=1 d=1 t=27664
ge zhong 	各種	c=13 d=0.00748391 t=66314
ge zhong you hui 	各種優惠	c=1 d=1.96257e-50 t=66314
gei 	給	c=81 d=0.0137439 t=66314
gei chu 	給出	c=2 d=2.02488e-06 t=66314
gei chu qu 	給出去	c=1 d=1 t=28056
gei dao 	給到	c=5 d=1 t=56196
gei de 	給的	c=5 d=0.011109 t=66314
gei dian 	給點	c=1 d=6.83839e-30 t=66314
gei duo le 	給多了	c=1 d=5.27472e-05 t=66314
gei ge 	給個	c=7 d=1.91851 t=65173
gei le 	給了	c=3 d=0.00447164 t=66314
gei li 	給力	c=1 d=1 t=35292
gei ni 	給你	c=10 d=5.63194e-30 t=66314
gei shui 	給誰	c=1 d=1 t=65385
gei ta 	給她	c=1 d=8.72619e-45 t=66314
gei ta men 	給他們	c=1 d=1 t=31162
gei wo 	給我	c=11 d=7.7024e-18 t=66314
gei yi xia 	給一下	c=4 d=1 t=53642
gen 	根	c=1 d=1 t=63961
gen 	跟	c=180 d=0.827425 t=66314
gen ji qi 	跟機器	c=1 d=1 t=63354
gen jin 	跟進	c=5 d=0.0204453 t=66314
gen ju 	根據	c=51 d=0.000692838 t=66314
gen mu lu 	根目錄	c=1 d=0.666977 t=66314
gen ni 	跟你	c=4 d=0.00201931 t=66314
gen shui 	跟誰	c=1 d=2.16124e-08 t=66314
gen sui 	跟隨	c=1 d=1 t=39491
gen ta 	跟他	c=5 d=2.51092e-37 t=66314
gen ta 	跟她	c=2 d=1 t=41892
gen wo 	跟我	c=3 d=7.05048e-07 t=66314
gen wo men 	跟我們	c=1 d=9.93764e-45 t=66314
gen yin 	根因	c=1 d=1 t=44970
gen zhe 	跟着	c=3 d=1 t=65264
gen zong 	跟蹤	c=4 d=6.55218e-27 t=66314
geng 	更	c=8 d=2.30638e-08 t=66314
geng 	梗	c=1 d=1 t=57741
geng 	耿	c=2 d=1.99501 t=37264
geng duo 	更多	c=2 d=1.37568e-17 t=66314
geng gai 	更改	c=3 d=1.88388e-09 t=66314
geng gao 	更高	c=2 d=1.89319e-09 t=66314
geng hao 	更好	c=5 d=4.90704e-06 t=66314
geng huan 	更換	c=1 d=1 t=44551
geng shuai 	更帥	c=1 d=1 t=59236
geng wo 	更我	c=1 d=2.1608e-35 t=66314
geng xin 	更新	c=101 d=0.0127719 t=66314
geng xin le 	更新了	c=1 d=1 t=62679
gong 	供	c=7 d=8.64274e-05 t=66314
gong 	公	c=1 d=1 t=35570
gong 	共	c=4 d=1 t=64392
gong 	工	c=0 d=0.1 t=52911
gong dan 	工單	c=47 d=0.000611074 t=66314
gong fang 	攻防	c=1 d=1.95517e-35 t=66314
gong fu 	功夫	c=1 d=2.3111e-32 t=66314
gong fu bu fu you xin ren 	功夫不負有心人	c=1 d=2.32268e-32 t=66314
gong gao 	公告	c=2 d=1 t=56960
gong gong 	公共	c=1 d=1 t=56961
gong ji 	攻擊	c=1 d=1 t=26926
gong jiao 	公交	c=1 d=5.26362e-39 t=66314
gong ju 	工具	c=7 d=0.000728153 t=66314
gong kai 	公開	c=0 d=0.1 t=40330
gong lao 	功勞	c=1 d=4.41872e-10 t=66314
gong li 	公里	c=2 d=1.18874e-34 t=66314
gong neng 	功能	c=34 d=0.00347588 t=66314
gong si 	公司	c=12 d=0.00631383 t=66314
gong wang 	公網	c=56 d=0.00607332 t=66314
gong wei 	工位	c=1 d=1 t=38200
gong wu 	公務	c=1 d=4.05852e-39 t=66314
gong xiang 	共享	c=7 d=1.34706e-05 t=66314
gong ying shang 	供應商	c=1 d=1 t=40721
gong yong 	共用	c=5 d=1.08665e-07 t=66314
gong you 	公有	c=1 d=5.9964e-44 t=66314
gong you 	共有	c=1 d=1 t=31322
gong you yun 	公有雲	c=5 d=3.41618e-18 t=66314
gong yu 	公寓	c=1 d=1.60878e-35 t=66314
gong yuan 	公園	c=1 d=8.39573e-32 t=66314
gong zi 	工資	c=2 d=1.00106 t=36258
gong zuo 	工作	c=9 d=0.0010701 t=66314
gong zuo can 	工作餐	c=1 d=2.3517e-31 t=66314
gong zuo liu 	工作流	c=1 d=1 t=56016
gong zuo ri 	工作日	c=1 d=1.46982e-31 t=66314
gou 	夠	c=2 d=1.61883e-20 t=66314
gou 	狗	c=5 d=6.25534e-11 t=66314
gou 	購	c=3 d=2.17542e-26 t=66314
gou cheng 	構成	c=1 d=4.11565e-27 t=66314
gou da 	夠大	c=1 d=2.64244e-20 t=66314
gou gao 	狗高	c=1 d=8.92581e-17 t=66314
gou gou 	狗狗	c=1 d=1 t=42962
gou jian 	構建	c=31 d=0.00222845 t=66314
gou le 	夠了	c=2 d=2.61614e-20 t=66314
gou mai 	購買	c=1 d=1 t=54662
gou tong 	溝通	c=7 d=9.33505e-15 t=66314
gou wo 	夠我	c=1 d=1 t=65904
gou wo 	狗窩	c=1 d=1 t=65903
gou wu che 	購物車	c=1 d=1.74669e-32 t=66314
gou xuan 	勾選	c=2 d=1.08511 t=50641
gou zao 	構造	c=9 d=0.0342181 t=66314
gou zi 	狗子	c=1 d=1 t=28279
gu 	古	c=1 d=7.90007e-22 t=66314
gu 	故	c=1 d=1.04924e-36 t=66314
gu 	谷	c=1 d=1 t=49915
gu ding 	固定	c=12 d=7.99835e-07 t=66314
gu dong gu dong 	咕咚咕咚	c=1 d=8.22248e-22 t=66314
gu ji 	估計	c=16 d=1.47537e-13 t=66314
gu ji shi 	估計是	c=1 d=1 t=57511
gu lao 	古老	c=1 d=1 t=35930
gu long 	古龍	c=1 d=3.03261e-52 t=66314
gu suan 	估算	c=1 d=1.06383e-22 t=66314
gu zhang 	故障	c=49 d=0.00288615 t=66314
gu zhang shi 	故障是	c=1 d=0.00228818 t=66314
gu zhang shi 	故障時	c=1 d=1 t=30955
gu zhe 	骨折	c=1 d=1.3081e-42 t=66314
gua 	刮	c=1 d=1 t=54684
gua 	呱	c=1 d=1 t=55165
gua 	掛	c=22 d=0.105928 t=66314
gua bu shang 	掛不上	c=1 d=1 t=58409
gua dao 	掛到	c=2 d=1 t=51681
gua gua 	呱呱	c=3 d=1 t=61237
gua hao 	掛號	c=0 d=0.1 t=42655
gua hao le 	掛號了	c=1 d=1 t=42656
gua ji 	掛機	c=1 d=1 t=42384
gua le 	掛了	c=4 d=4.11929e-08 t=66314
gua yi xia 	掛一下	c=1 d=1 t=32564
gua zai 	掛載	c=17 d=3.44732e-17 t=66314
guai 	怪	c=2 d=1.251e-17 t=66314
guai bu de 	怪不得	c=1 d=2.69765e-28 t=66314
guan 	管	c=5 d=7.18534e-24 t=66314
guan 	關	c=7 d=2.44 t=51295
guan 	館	c=1 d=3.01605e-17 t=66314
guan bi 	關閉	c=33 d=0.000634414 t=66314
guan ce 	觀測	c=1 d=1 t=49754
guan cha 	觀察	c=19 d=0.546074 t=66314
guan chuang 	關窗	c=1 d=1 t=32940
guan diao 	關掉	c=6 d=9.49258e-06 t=66314
guan diao le 	關掉了	c=1 d=1 t=46099
guan fang 	官方	c=5 d=0.000706632 t=66314
guan fang hao 	官方好	c=1 d=1 t=61375
guan ji 	關機	c=9 d=6.93791 t=50340
guan jian 	關鍵	c=2 d=3.18268e-32 t=66314
guan kong 	管控	c=1 d=1 t=44798
guan le 	關了	c=3 d=1.08307e-27 t=66314
guan li 	管理	c=9 d=1.43479e-12 t=66314
guan lian 	關聯	c=10 d=2.02275e-23 t=66314
guan tou 	罐頭	c=1 d=1 t=40769
guan xi 	關係	c=19 d=0.000889368 t=66314
guan xuan 	官宣	c=1 d=1 t=53659
guan yong 	冠勇	c=1 d=1 t=27162
guan zhu 	關注	c=2 d=1 t=60677
guang 	光	c=1 d=1 t=43779
guang 	廣	c=2 d=1.76029e-35 t=66314
guang dong 	廣東	c=1 d=1 t=39170
guang gao 	廣告	c=2 d=4.66856e-10 t=66314
guang guang 	逛逛	c=2 d=1.15634e-38 t=66314
guang rong 	光榮	c=1 d=1 t=55726
guang xi 	廣西	c=3 d=1 t=65471
gui 	歸	c=1 d=1 t=58230
gui 	貴	c=12 d=5.77638e-15 t=66314
gui 	鬼	c=3 d=1.76338 t=41804
gui dang 	歸檔	c=6 d=0.0142644 t=66314
gui de 	貴的	c=1 d=9.63573e-35 t=66314
gui ding 	規定	c=2 d=1 t=57296
gui fan 	規範	c=1 d=1 t=31243
gui ge 	規格	c=2 d=1 t=32269
gui hua 	規劃	c=4 d=4.11342e-50 t=66314
gui huan 	歸還	c=2 d=1 t=64469
gui hun 	鬼混	c=1 d=9.18981e-07 t=66314
gui hun 	鬼魂	c=1 d=9.14398e-07 t=66314
gui lin 	桂林	c=2 d=3.79399e-31 t=66314
gui lv 	規律	c=0 d=0.1 t=66171
gui yi 	詭異	c=1 d=1 t=25040
gui ze 	規則	c=16 d=2.93249e-10 t=66314
gui zhou 	貴州	c=1 d=1 t=33510
gun 	滾	c=4 d=7.26261e-20 t=66314
gun dong 	滾動	c=2 d=6.09778e-05 t=66314
guo 	過	c=39 d=1.31473e-10 t=66314
guo 	鍋	c=5 d=1.65593e-42 t=66314
guo bao 	過保	c=5 d=1 t=55541
guo bu liao 	過不了	c=3 d=1 t=63542
guo cheng 	過程	c=17 d=0.000273286 t=66314
guo de 	過得	c=1 d=1 t=34851
guo di 	過低	c=1 d=0.0026189 t=66314
guo du 	過渡	c=9 d=9.69094e-14 t=66314
guo duan 	過段	c=4 d=2.06614e-08 t=66314
guo duo 	過多	c=1 d=0.647265 t=66314
guo fen 	過分	c=1 d=5.3987e-43 t=66314
guo gao 	過高	c=1 d=1 t=61397
guo ji 	國際	c=0 d=0.0100761 t=66314
guo ji ban 	國際版	c=4 d=0.101266 t=66314
guo lai 	過來	c=18 d=1.00372e-06 t=66314
guo lai de 	過來的	c=1 d=1 t=38871
guo le 	過了	c=5 d=3.15019e-13 t=66314
guo liang 	過量	c=2 d=1.43787 t=66314
guo lv 	過濾	c=37 d=0.131728 t=66314
guo nei 	國內	c=14 d=0.000645813 t=66314
guo nei wai 	國內外	c=2 d=1.99501 t=29413
guo nian 	過年	c=3 d=1.4887e-17 t=66314
guo nian de 	過年的	c=1 d=4.16423e-18 t=66314
guo qi 	國企	c=4 d=1.62701e-20 t=66314
guo qi 	過期	c=23 d=0.245367 t=66314
guo qing 	國慶	c=5 d=1.40538e-33 t=66314
guo qu 	過去	c=7 d=2.95934e-29 t=66314
guo wai 	國外	c=5 d=1.24092e-10 t=66314
guo wan 	過完	c=0 d=8.34817e-25 t=66314
guo wan nian 	過完年	c=2 d=8.39001e-24 t=66314
guo ye 	過夜	c=1 d=1.5704e-45 t=66314
guo yi bian 	過一遍	c=1 d=1 t=27799
guo yu 	過於	c=1 d=1.06513e-07 t=66314
ha 	哈	c=63 d=0.0292314 t=66314
ha ha 	哈哈	c=0 d=1.46932e-28 t=66314
ha ha ha 	哈哈哈	c=305 d=0.166607 t=66314
ha ha ha ha 	哈哈哈哈	c=89 d=3.64777e-05 t=66314
ha ha ha ha hui 	哈哈哈哈會	c=1 d=1 t=29694
ha ma 	蛤蟆	c=1 d=8.21662e-43 t=66314
ha qian 	哈欠	c=1 d=1 t=37552
hai 	害	c=2 d=3.60132e-24 t=66314
hai 	海	c=5 d=4.3942e-45 t=66314
hai 	還	c=113 d=0.411764 t=66314
hai bu 	還不	c=0 d=2.33917e-28 t=66314
hai bu qing chu 	還不清楚	c=1 d=2.33353e-28 t=66314
hai bu yong mai 	還不用買	c=1 d=2.3509e-27 t=66314
hai cha 	還差	c=3 d=6.64894e-23 t=66314
hai chi 	還吃	c=1 d=1 t=27918
hai dei 	還得	c=1 d=1.58947e-40 t=66314
hai gao 	還高	c=1 d=0.127454 t=66314
hai hao 	還好	c=6 d=1.41319e-10 t=66314
hai hao la 	還好啦	c=1 d=1 t=24269
hai hui 	還會	c=6 d=1 t=63415
hai ke yi 	還可以	c=4 d=1.70002e-06 t=66314
hai me 	還麼	c=1 d=3.7498e-20 t=66314
hai mei 	還沒	c=38 d=0.142388 t=66314
hai mei fa 	還沒發	c=3 d=0.000212834 t=66314
hai mei hao 	還沒好	c=2 d=3.4674e-40 t=66314
hai mei jia 	還沒加	c=1 d=1 t=38434
hai mei ren 	還沒人	c=1 d=1.42023e-39 t=66314
hai mei you 	還沒有	c=39 d=0.960789 t=66314
hai mei zou 	還沒走	c=1 d=1 t=32498
hai neng 	還能	c=10 d=4.71628e-12 t=66314
hai neng gou 	還能夠	c=0 d=1.48232e-14 t=66314
hai ren 	害人	c=1 d=1.28862e-42 t=66314
hai shi 	還是	c=164 d=0.83942 t=66314
hai shu li 	還梳理	c=1 d=1 t=42836
hai suan 	還算	c=2 d=1 t=39166
hai ting 	還挺	c=0 d=0.1 t=35498
hai ting hao ci 	還挺好詞	c=1 d=1 t=35499
hai wai 	海外	c=38 d=0.0581156 t=66314
hai wei 	還未	c=1 d=1 t=56369
hai xian 	海鮮	c=1 d=1.70768e-31 t=66314
hai xiang 	還想	c=1 d=3.13806e-14 t=66314
hai xiang shui 	還想睡	c=1 d=3.15379e-13 t=66314
hai xing 	還行	c=5 d=1.613e-07 t=66314
hai xu yao 	還需要	c=9 d=0.0266491 t=66314
hai yao 	還要	c=13 d=5.63454e-05 t=66314
hai yi 	還以	c=0 d=0.1 t=56843
hai yi wo 	還以我	c=1 d=1 t=56844
hai you 	還有	c=98 d=0.134882 t=66314
hai you ge 	還有個	c=10 d=0.00970611 t=66314
hai you ma 	還有嗎	c=1 d=1 t=31579
hai you na xie can shu 	還有哪些參數	c=1 d=1 t=26430
hai you ren 	還有人	c=1 d=0.794534 t=66314
hai zai 	還在	c=41 d=0.394566 t=66314
hai zai kan 	還在看	c=1 d=1 t=42909
hai zi 	孩子	c=0 d=0.1 t=32477
han 	汗	c=1 d=1 t=61734
han bao wang 	漢堡王	c=1 d=1.93506e-31 t=66314
han shi 	韓式	c=3 d=2.92798e-31 t=66314
han shu 	函數	c=8 d=5.14081e-16 t=66314
han yi 	含義	c=2 d=1 t=63454
hang 	夯	c=1 d=1 t=63842
hang 	行	c=5 d=6.45579e-29 t=66314
hang hao 	行號	c=1 d=3.81101e-34 t=66314
hang kong 	航空	c=0 d=3.97816e-40 t=66314
hang shu 	行數	c=2 d=1.90484 t=48253
hang suo 	行鎖	c=1 d=1.19185e-06 t=66314
hao 	好	c=61 d=0.383227 t=66314
hao 	號	c=37 d=0.508238 t=66314
hao ba 	好吧	c=18 d=2.42105e-08 t=66314
hao bang 	好棒	c=2 d=1 t=57222
hao bu hao 	好不好	c=2 d=2.72143e-43 t=66314
hao bu rong yi 	好不容易	c=1 d=8.00557e-31 t=66314
hao can 	好慘	c=2 d=1.85742e-22 t=66314
hao chang 	好長	c=3 d=1 t=59059
hao chao 	好吵	c=1 d=1 t=52941
hao chi 	好吃	c=1 d=1 t=28016
hao chou 	好愁	c=1 d=8.80939e-39 t=66314
hao ci 	好詞	c=0 d=0.1 t=35498
hao cong ming 	好聰明	c=1 d=0.00740944 t=66314
hao da 	好大	c=3 d=1.00306e-28 t=66314
hao de 	好的	c=580 d=1.26151 t=66314
hao dong 	好動	c=1 d=6.01723e-25 t=66314
hao dong xi 	好東西	c=1 d=1 t=41849
hao duo 	好多	c=12 d=5.74991e-18 t=66314
hao fan 	好煩	c=5 d=7.88236e-25 t=66314
hao gong zuo 	好工作	c=1 d=1 t=56878
hao hao 	好好	c=2 d=1.0158e-08 t=66314
hao hao kan 	好好看	c=1 d=1 t=24958
hao ji ci 	好幾次	c=1 d=1.77864e-10 t=66314
hao ji tai 	好幾臺	c=2 d=1 t=65906
hao ji tian 	好幾天	c=1 d=1 t=41626
hao jiu 	好久	c=1 d=3.09661e-33 t=66314
hao ka 	好卡	c=1 d=7.70477e-51 t=66314
hao kan 	好看	c=14 d=2.66178e-13 t=66314
hao ke ai 	好可愛	c=3 d=1 t=49250
hao ke lian 	好可憐	c=2 d=5.45778e-24 t=66314
hao ke pa 	好可怕	c=3 d=1 t=49666
hao ku 	好酷	c=1 d=2.09195e-07 t=66314
hao kuai 	好快	c=1 d=1.00001 t=59134
hao kuai ya 	好快呀	c=1 d=1 t=57191
hao la 	好啦	c=3 d=0.021068 t=66314
hao le 	好了	c=47 d=0.698857 t=66314
hao le 	好勒	c=2 d=0.000443861 t=66314
hao lei 	好累	c=1 d=1 t=28709
hao li hai 	好厲害	c=3 d=1.87302e-30 t=66314
hao lou 	號樓	c=4 d=1.04674e-08 t=66314
hao ma 	好嗎	c=6 d=5.15851e-37 t=66314
hao ma 	號碼	c=6 d=2.26495e-30 t=66314
hao ma fan 	好麻煩	c=1 d=1 t=61461
hao man 	好慢	c=2 d=3.74394e-31 t=66314
hao mang 	好忙	c=0 d=0.1 t=39907
hao na 	好拿	c=1 d=1 t=24578
hao nan 	好難	c=3 d=1.73798e-32 t=66314
hao ne 	好呢	c=5 d=2.8175e-10 t=66314
hao pai 	好拍	c=1 d=1 t=58710
hao pian yi 	好便宜	c=1 d=1.76695e-50 t=66314
hao ping 	好評	c=1 d=1 t=24696
hao qi 	好氣	c=1 d=1 t=62214
hao qi fu 	好欺負	c=1 d=2.38108e-30 t=66314
hao qi guai 	好奇怪	c=1 d=1 t=58703
hao re 	好熱	c=1 d=1 t=65672
hao shi 	好事	c=1 d=1 t=31927
hao shi 	耗時	c=51 d=2.74152e-09 t=66314
hao shu fu 	好舒服	c=1 d=1 t=65669
hao si 	好似	c=0 d=0.1 t=39989
hao song 	好慫	c=1 d=3.27615e-49 t=66314
hao ting 	好聽	c=3 d=1.89436e-38 t=66314
hao wan de 	好玩的	c=1 d=5.93471e-39 t=66314
hao xiang 	好像	c=56 d=0.0221234 t=66314
hao xiao 	好笑	c=0 d=0.1 t=26340
hao xin ku 	好辛苦	c=1 d=1 t=27268
hao xiong 	好凶	c=1 d=8.96568e-40 t=66314
hao ya 	好呀	c=11 d=6.34664e-05 t=66314
hao ye 	好耶	c=2 d=1 t=32614
hao yi dian 	好一點	c=6 d=3.52962e-14 t=66314
hao you 	好友	c=1 d=1.64469e-30 t=66314
hao zao 	好早	c=2 d=1 t=58805
hao zhuan ye 	好專業	c=1 d=4.51091e-47 t=66314
he 	何	c=2 d=1.55129e-48 t=66314
he 	合	c=20 d=0.095367 t=66314
he 	和	c=191 d=0.329136 t=66314
he 	喝	c=9 d=7.08461e-05 t=66314
he 	核	c=11 d=3.01024 t=62014
he ba 	喝吧	c=1 d=7.04928e-05 t=66314
he bing 	合併	c=26 d=1.61851 t=66314
he bing dao 	合併到	c=1 d=1.03485e-50 t=66314
he bing le 	合併了	c=1 d=0.000393669 t=66314
he cheng 	合成	c=1 d=1 t=39626
he dao 	合到	c=2 d=5.96262e-06 t=66314
he dui 	覈對	c=4 d=0.0046047 t=66314
he guo 	喝過	c=2 d=2.3655e-41 t=66314
he he 	喝喝	c=1 d=1 t=54719
he kuang 	何況	c=1 d=0.960789 t=66314
he le 	合了	c=21 d=0.0163325 t=66314
he qi lai 	合起來	c=1 d=1 t=45424
he se 	褐色	c=1 d=1 t=37090
he shang 	喝上	c=1 d=5.69019e-44 t=66314
he shi 	合適	c=13 d=0.082085 t=66314
he shu 	核數	c=2 d=4.58718e-09 t=66314
he suan 	核酸	c=1 d=1 t=52417
he suan 	覈算	c=3 d=1.00322 t=52416
he wan 	喝完	c=1 d=6.87523e-05 t=66314
he xin 	核心	c=5 d=4.96049e-26 t=66314
he xing 	核型	c=1 d=7.96293e-27 t=66314
he yi 	合一	c=0 d=7.11505e-27 t=66314
he yi xia 	合一下	c=3 d=0.0420036 t=66314
he zu 	合租	c=1 d=6.26813e-35 t=66314
hei 	嘿	c=2 d=5.12752e-35 t=66314
hei 	黑	c=6 d=0.000142667 t=66314
hei bi 	黑筆	c=1 d=3.30683e-41 t=66314
hei de 	黑的	c=1 d=4.20608e-18 t=66314
hei he 	黑盒	c=1 d=1 t=65324
hei hei 	嘿嘿	c=0 d=5.04246e-35 t=66314
hei hei hei 	嘿嘿嘿	c=6 d=4.48002e-25 t=66314
hei ka 	嘿卡	c=1 d=4.98719e-22 t=66314
hei ka 	黑卡	c=1 d=5.26917e-22 t=66314
hei ming dan 	黑名單	c=14 d=3.48967e-07 t=66314
hei se 	黑色	c=1 d=4.10223e-18 t=66314
hei she hui 	黑社會	c=1 d=1 t=35297
hei tong 	黑桐	c=11 d=0.315891 t=66314
hei xian 	黑線	c=1 d=2.92075e-51 t=66314
hen 	很	c=24 d=0.77593 t=66314
hen bu 	很不	c=0 d=0.1 t=66171
hen bu gui lv 	很不規律	c=1 d=1 t=66172
hen chang 	很長	c=3 d=1 t=61203
hen da 	很大	c=3 d=0.191092 t=66314
hen du 	狠毒	c=1 d=1 t=61053
hen duan 	很短	c=1 d=1 t=59193
hen duo 	很多	c=30 d=0.194952 t=66314
hen duo ci 	很多次	c=1 d=1 t=58599
hen duo ren 	很多人	c=1 d=1 t=58705
hen duo tu 	很多圖	c=1 d=1 t=34136
hen duo zhong 	很多中	c=1 d=1 t=59788
hen gao 	很高	c=7 d=1 t=59606
hen guai 	很怪	c=1 d=2.03248e-50 t=66314
hen hao 	很好	c=2 d=1.20424e-10 t=66314
hen hao kan 	很好看	c=1 d=1 t=44686
hen hao le 	很好了	c=1 d=1 t=57006
hen jin 	很近	c=2 d=5.6099e-36 t=66314
hen jiu 	很久	c=4 d=7.15947e-11 t=66314
hen ka 	很卡	c=1 d=1 t=49372
hen kuai 	很快	c=6 d=5.2411e-18 t=66314
hen la ji 	很辣雞	c=1 d=1.85628e-42 t=66314
hen lao 	很老	c=1 d=1 t=54924
hen ma fan 	很麻煩	c=2 d=5.69231e-19 t=66314
hen man 	很慢	c=2 d=1 t=59191
hen mang 	很忙	c=1 d=1 t=61182
hen pin fan 	很頻繁	c=1 d=0.562705 t=66314
hen re 	很熱	c=1 d=1 t=64846
hen shao 	很少	c=3 d=7.17411e-35 t=66314
hen si 	很死	c=1 d=1 t=57297
hen xiao 	很小	c=1 d=1 t=50741
hen xin ku 	很辛苦	c=1 d=1 t=59071
hen you 	很有	c=2 d=3.16906e-11 t=66314
hen zao 	很早	c=4 d=1 t=62308
hen zhao ji 	很着急	c=1 d=1 t=25978
heng 	哼	c=8 d=1.25186e-25 t=66314
heng 	恆	c=1 d=1 t=32921
heng heng 	哼哼	c=1 d=1 t=56065
heng xiang 	橫向	c=4 d=0.0267135 t=66314
hong 	紅	c=3 d=1.48742e-24 t=66314
hong 	虹	c=1 d=1.24388e-38 t=66314
hong bao 	紅包	c=7 d=1.67946e-24 t=66314
hong bi 	紅筆	c=1 d=3.34006e-41 t=66314
hong li 	紅利	c=1 d=1 t=55050
hong qiao 	虹橋	c=5 d=5.80216e-31 t=66314
hong se 	紅色	c=14 d=2.73762e-08 t=66314
hong xian bie 	紅弦別	c=1 d=1.57072e-18 t=66314
hou 	厚	c=1 d=4.81402e-18 t=66314
hou 	後	c=113 d=0.316839 t=66314
hou bu 	候補	c=1 d=2.53529e-33 t=66314
hou duan 	後端	c=7 d=4.0273e-07 t=66314
hou lai 	後來	c=2 d=9.96675e-50 t=66314
hou mian 	後面	c=98 d=0.655335 t=66314
hou qi 	後期	c=8 d=2.33036e-12 t=66314
hou tai 	後臺	c=4 d=1.14256e-20 t=66314
hou tui 	後退	c=2 d=1.58413e-51 t=66314
hou xu 	後續	c=12 d=0.0219358 t=66314
hou zhe 	後者	c=2 d=4.92146e-13 t=66314
hou zhui 	後綴	c=2 d=1 t=28137
hou zi 	猴子	c=2 d=1 t=55217
hu 	虎	c=7 d=0.893835 t=66314
hu jin 	狐金	c=2 d=3.52351e-23 t=66314
hu lian wang 	互聯網	c=1 d=1 t=47469
hu lve 	忽略	c=17 d=0.091176 t=66314
hu tong 	互通	c=1 d=1 t=29579
hu xing 	戶型	c=1 d=1.24024e-33 t=66314
hua 	化	c=20 d=1.02826e-18 t=66314
hua 	畫	c=2 d=2.94668e-08 t=66314
hua 	花	c=2 d=3.08651e-25 t=66314
hua 	話	c=88 d=0.0901415 t=66314
hua bei 	花唄	c=1 d=1 t=37750
hua bei 	華北	c=1 d=1 t=59989
hua fen 	劃分	c=1 d=1 t=50863
hua hua 	花花	c=1 d=4.01814e-39 t=66314
hua jian 	花間	c=2 d=1.03049e-22 t=66314
hua lu shui 	花露水	c=2 d=1.56973 t=66314
hua luo 	花蘿	c=1 d=6.8124e-44 t=66314
hua mian 	畫面	c=1 d=8.62293e-52 t=66314
hua pi 	花皮	c=1 d=1 t=40760
hua qian 	花錢	c=3 d=1.15482e-17 t=66314
hua shuo 	話說	c=6 d=1 t=60535
hua wan 	花丸	c=1 d=1 t=55671
hua wei 	華爲	c=39 d=4.03978e-14 t=66314
hua wei de 	華爲的	c=1 d=3.63712e-14 t=66314
hua yi xia 	畫一下	c=1 d=6.45003e-48 t=66314
hua zhi 	畫質	c=1 d=1 t=46256
huai 	壞	c=5 d=1.71981e-26 t=66314
huai le 	壞了	c=8 d=0.965605 t=66314
huai yi 	懷疑	c=6 d=0.115325 t=66314
huan 	換	c=33 d=1.8466 t=66314
huan 	歡	c=1 d=1 t=36748
huan 	環	c=1 d=5.58625e-33 t=66314
huan 	還	c=4 d=1.13253e-23 t=66314
huan cheng 	換成	c=4 d=1 t=54225
huan cun 	緩存	c=21 d=0.423162 t=66314
huan dao 	換到	c=4 d=1 t=57160
huan ge 	換個	c=6 d=4.82073e-05 t=66314
huan hang 	換行	c=2 d=8.05418e-15 t=66314
huan hang de 	換行的	c=1 d=8.09455e-14 t=66314
huan jing 	環境	c=39 d=0.153355 t=66314
huan qu 	換取	c=2 d=4.39486e-07 t=66314
huan shang 	換上	c=1 d=6.46562e-47 t=66314
huan shang 	還上	c=1 d=5.37652e-24 t=66314
huan shou ji 	換手機	c=1 d=2.53969e-24 t=66314
huan suan 	換算	c=1 d=1.67478e-08 t=66314
huan wo 	還我	c=1 d=3.61148e-19 t=66314
